Zhejiang University
Missouri University of Technology
University of Salzburg
Graz University of Technology
Hong Kong Baptist University
Georgia Institute of Technology
Clemson University
University of Missouri - Kansas City
Washington University in St. Louis
Northern Arizona University
Nanjing University
Indiana University
HEC Montreal
University College London
Universidade de Brasília
UFRGS
University of Cincinnati
Kyoto University
IT University of Copenhagen
University of Surrey
Virginia Tech
Seoul National University
University of Chicago
West Virginia University
Air Force Institute of Technology
Auburn University
The Hong Kong Polytechnic University
Georgia State University
IIT Roorkee
Montana State University
Technion
Binghamton University
University of Notre Dame
Texas Tech University
UFRJ
Aarhus University
IIT Hyderabad
University of Koblenz-Landau
College of William and Mary
Oakland University
FURG Federal University of Rio Grande
University of Southern California
University of Copenhagen
University of Tartu
